Name,Country,total_Gold_medal
"Michael Fred Phelps, II",USA,28
Larysa Semenivna Latynina (Diriy-),Soviet Union,18
Nikolay Yefimovich Andrianov,Soviet Union,15
Ole Einar Bjrndalen,Norway,13
Edoardo Mangiarotti,Italy,13
Takashi Ono,Japan,13
Borys Anfiyanovych Shakhlin,Soviet Union,13
"Jennifer Elisabeth ""Jenny"""" Thompson (-Cumpelik)""",USA,12
"Dara Grace Torres (-Hoffman, -Minas)",USA,12
Natalie Anne Coughlin (-Hall),USA,12
Birgit Fischer-Schmidt,East Germany,12
Birgit Fischer-Schmidt,Germany,12
Sawao Kato,Japan,12
Ryan Steven Lochte,USA,12
Aleksey Yuryevich Nemov,Russia,12
Paavo Johannes Nurmi,Finland,12
Carl Townsend Osburn,USA,11
Aleksandr Vladimirovich Popov,Unified Team,11
Mark Andrew Spitz,USA,11
"Matthew Nicholas ""Matt"""" Biondi""",USA,11
Vra slavsk (-Odloilov),Czechoslovakia,11
Viktor Ivanovych Chukarin,Soviet Union,11
Polina Hryhorivna Astakhova,Soviet Union,10
Stefania Belmondo,Italy,10
Marit Bjrgen,Norway,10
Aleksandr Nikolayevich Dityatin,Soviet Union,10
"Raymond Clarence ""Ray"""" Ewry""",USA,10
Aladr Gerevich (-Gerei),Hungary,10
"Gary Wayne Hall, Jr.",USA,10
gnes Keleti-Srkny (Klein),Hungary,10
"Frederick Carlton ""Carl"""" Lewis""",USA,10
Akinori Nakayama,Japan,10
Franziska van Almsick,Germany,10
Vitaly Venediktovich Shcherbo,Unified Team,10
Vitaly Venediktovich Shcherbo,Belarus,10
Raisa Petrovna Smetanina,Soviet Union,10
Raisa Petrovna Smetanina,Unified Team,10
Gerard Theodor Hubert Van Innis,Belgium,10
Isabelle Regina Werth,Germany,10
Yang Yang,China,10
Martin Joseph Sheridan,USA,9
"Alfred Gomer Albert ""Alf"""" Swahn""",Sweden,9
Ian James Thorpe,Australia,9
Yury Yevlampiyevich Titov,Soviet Union,9
Mitsuo Tsukahara,Japan,9
Lyudmila Ivanovna Turishcheva (-Borzova),Soviet Union,9
"Theodora Elisabeth Gerarda ""Anky"""" van Grunsven""",Netherlands,9
Maria Valentina Vezzali,Italy,9
Zoltn Imre dn von Halmay,Hungary,9
Mikhail Yakovlevich Voronin,Soviet Union,9
Lyubov Ivanovna Yegorova,Unified Team,9
Lyubov Ivanovna Yegorova,Russia,9
Eizo Kenmotsu,Japan,9
Claudia Pechstein,Germany,9
Aleksandr Vladimirovich Popov,Russia,9
Heikki Ilmari Savolainen,Finland,9
Shirley Frances Babashoff,USA,9
Nadia Elena Comneci (-Conner),Romania,9
"Ursula ""Uschi"""" Disl""",Germany,9
Allyson Michelle Felix,USA,9
Giulio Gaudini,Italy,9
Edy Sixten Jernberg,Sweden,9
Leisel Marie Jones,Australia,9
Merlene Joyce Ottey-Page,Jamaica,9
Merlene Joyce Ottey-Page,Slovenia,9
Reiner Klimke,Germany,8
Reiner Klimke,West Germany,8
"Margit Korondi (Kronstein-, -Plachy, -Szalay)",Hungary,8
Katalin Kovcs,Hungary,8
Galina Alekseyevna Kulakova,Soviet Union,8
Jason Edward Lezak,USA,8
Eugen Mack,Switzerland,8
Roland Matthes,East Germany,8
"Georg ""Georges"""" Miez""",Switzerland,8
Sofiya Ivanovna Muratova (Poduzdova-),Soviet Union,8
Gunda Niemann-Stirnemann-Kleemann,East Germany,8
Gunda Niemann-Stirnemann-Kleemann,Germany,8
Apolo Anton Ohno,USA,8
Elisabeta Oleniuc-Lip,Romania,8
Otto Martin Olsen,Norway,8
"Susan ""Susie"""" O'Neill""",Australia,8
"Viljo Eino ""Ville"""" Ritola (Koukkari-)""",Finland,8
Dmitry Ivanovich Sautin,Unified Team,8
Dmitry Ivanovich Sautin,Russia,8
Allison Rodgers Schmitt,USA,8
"Donald Arthur ""Don"""" Schollander""",USA,8
Henry Taylor,UK,8
Petria Ann Thomas (-Jones),Australia,8
Giovanna Trillini,Italy,8
Bradley Marc Wiggins,UK,8
