countries,total_medals,ranking
USA,5414,1
Soviet Union,2658,2
Germany,2395,3
UK,1971,4
France,1686,5
Italy,1603,6
Sweden,1535,7
Australia,1333,8
Canada,1324,9
Russia,1321,10
Hungary,1140,11
East Germany,1137,12
Norway,1034,13
Netherlands,1034,13
China,991,14
Japan,909,15
Finland,901,16
West Germany,719,17
Switzerland,662,18
Romania,644,19
South Korea,642,20
Unified Team,600,21
Denmark,597,22
Poland,567,23
Czechoslovakia,521,24
Spain,493,25
Brazil,476,26
Austria,458,27
Yugoslavia,416,28
Cuba,410,29
Bulgaria,348,30
Belgium,348,30
Argentina,275,31
Ukraine,245,32
New Zealand,230,33
India,180,34
Belarus,178,35
Czech Republic,175,36
Croatia,170,37
Jamaica,164,38
South Africa,128,39
Pakistan,124,40
Greece,124,40
Mexico,111,41
Serbia,107,42
Kenya,103,43
Nigeria,101,44
Serbia and Montenegro,95,45
Kazakhstan,93,46
Turkey,81,47
Lithuania,73,48
North Korea,67,49
Iran,67,49
Slovenia,63,50
Uruguay,59,51
Estonia,58,52
Ethiopia,53,53
Slovakia,53,53
Azerbaijan,52,54
Taiwan,51,55
Uzbekistan,43,56
Indonesia,42,57
Latvia,41,58
Portugal,41,58
Bahamas,40,59
Ireland,37,60
Georgia,36,61
Australasia,35,62
Trinidad and Tobago,32,63
Thailand,32,63
Chile,32,63
Colombia,28,64
Mongolia,27,65
Egypt,25,66
Cameroon,23,67
Armenia,23,67
Morocco,23,67
Ghana,23,67
Zimbabwe,21,68
Montenegro,19,69
Individual Olympic Athletes,17,70
Algeria,17,70
Iceland,17,70
Paraguay,17,70
Malaysia,17,70
Moldova,15,71
Venezuela,15,71
Peru,15,71
Fiji,13,72
Tunisia,13,72
Philippines,10,73
Bohemia,10,73
Israel,9,74
Puerto Rico,9,74
Singapore,9,74
Liechtenstein,9,74
Luxembourg,8,75
Uganda,7,76
Dominican Republic,7,76
Saudi Arabia,6,77
Qatar,5,78
Kyrgyzstan,5,78
West Indies Federation,5,78
Kuwait,4,79
Vietnam,4,79
Hong Kong,4,79
Tajikistan,4,79
Costa Rica,4,79
Lebanon,4,79
Namibia,4,79
Ivory Coast,3,80
Bahrain,3,80
Albania,3,80
Panama,3,80
Syria,3,80
Macedonia,3,80
Saar,3,80
United Arab Emirates,2,81
Grenada,2,81
Mozambique,2,81
Suriname,2,81
Burundi,2,81
Ecuador,2,81
Tanzania,2,81
United Arab Republic,2,81
Sri Lanka,2,81
Afghanistan,2,81
Jordan,1,82
Kosovo,1,82
Niger,1,82
Botswana,1,82
Guatemala,1,82
Netherlands Antilles,1,82
Haiti,1,82
Senegal,1,82
Virgin Islands,1,82
Sudan,1,82
Turkmenistan,1,82
Cyprus,1,82
Zambia,1,82
Gabon,1,82
Tonga,1,82
Guyana,1,82
Togo,1,82
Bermuda,1,82
Mauritius,1,82
Monaco,1,82
Djibouti,1,82
Eritrea,1,82
Barbados,1,82
