olympics_Name,total_countries
1896 Summer,11
1900 Summer,31
1904 Summer,13
1906 Summer,22
1908 Summer,23
1912 Summer,32
1920 Summer,31
1924 Summer,47
1924 Winter,17
1928 Summer,48
1928 Winter,25
1932 Summer,44
1932 Winter,17
1936 Summer,52
1936 Winter,28
1948 Summer,58
1948 Winter,28
1952 Summer,71
1952 Winter,30
1956 Summer,77
1956 Winter,32
1960 Summer,94
1960 Winter,32
1964 Summer,99
1964 Winter,38
1968 Summer,112
1968 Winter,38
1972 Summer,121
1972 Winter,36
1976 Summer,98
1976 Winter,39
1980 Summer,92
1980 Winter,41
1984 Summer,150
1984 Winter,58
1988 Summer,181
1988 Winter,70
1992 Summer,188
1992 Winter,79
1994 Winter,74
1996 Summer,206
1998 Winter,79
2000 Summer,209
2002 Winter,85
2004 Summer,210
2006 Winter,87
2008 Summer,212
2010 Winter,85
2012 Summer,215
2014 Winter,91
2016 Summer,213
