Name,Country,total_Gold_medal
"Michael Fred Phelps, II",USA,23
"Raymond Clarence ""Ray"""" Ewry""",USA,10
Larysa Semenivna Latynina (Diriy-),Soviet Union,9
"Frederick Carlton ""Carl"""" Lewis""",USA,9
Paavo Johannes Nurmi,Finland,9
Mark Andrew Spitz,USA,9
"Jennifer Elisabeth ""Jenny"""" Thompson (-Cumpelik)""",USA,8
"Matthew Nicholas ""Matt"""" Biondi""",USA,8
Ole Einar Bjrndalen,Norway,8
Usain St. Leo Bolt,Jamaica,8
Birgit Fischer-Schmidt,East Germany,8
Birgit Fischer-Schmidt,Germany,8
Sawao Kato,Japan,8
"Donald Arthur ""Don"""" Schollander""",USA,7
Borys Anfiyanovych Shakhlin,Soviet Union,7
Nikolay Yefimovich Andrianov,Soviet Union,7
Vra slavsk (-Odloilov),Czechoslovakia,7
Viktor Ivanovych Chukarin,Soviet Union,7
Aladr Gerevich (-Gerei),Hungary,7
Viktor An,South Korea,6
Viktor An,Russia,6
Marit Bjrgen,Norway,6
Allyson Michelle Felix,USA,6
Gert Fridolf Fredriksson,Sweden,6
"Christopher Andrew ""Chris"""" Hoy""",UK,6
Rudolf Krpti,Hungary,6
Jason Francis Kenny,UK,6
Reiner Klimke,Germany,6
Reiner Klimke,West Germany,6
Pl dm Kovcs,Hungary,6
Ryan Steven Lochte,USA,6
Edoardo Mangiarotti,Italy,6
Nedo Nadi,Italy,6
Akinori Nakayama,Japan,6
Kristin Otto,East Germany,6
Vitaly Venediktovich Shcherbo,Unified Team,6
Vitaly Venediktovich Shcherbo,Belarus,6
Lidiya Pavlovna Skoblikova (-Polozkova),Soviet Union,6
Amy Deloris Van Dyken (-Rouen),USA,6
Gerard Theodor Hubert Van Innis,Belgium,6
Maria Valentina Vezzali,Italy,6
Isabelle Regina Werth,Germany,6
Lyubov Ivanovna Yegorova,Unified Team,6
Lyubov Ivanovna Yegorova,Russia,6
Martin Joseph Sheridan,USA,5
Ian James Thorpe,Australia,5
Arnold Clas Robert Thunberg,Finland,5
Mitsuo Tsukahara,Japan,5
Dana Whitney Vollmer (-Grant),USA,5
"Peter Johann ""Johnny"""" Weissmuller""",USA,5
Bradley Marc Wiggins,UK,5
Hans Gnter Winkler,Germany,5
Hans Gnter Winkler,West Germany,5
Wu Minxia,China,5
Zou Kai,China,5
Nathan Ghar-Jun Adrian,USA,5
Thomas Alsgaard (Alsgrd-),Norway,5
Polina Hryhorivna Astakhova,Soviet Union,5
Bonnie Kathleen Blair (-Cruikshank),USA,5
Chen Ruolin,China,5
"Stephen Edward ""Steve"""" Clark""",USA,5
Nadia Elena Comneci (-Conner),Romania,5
Georgeta Damian-Andrunache,Romania,5
"Charles Meldrum ""Charlie"""" Daniels""",USA,5
Anastasiya Semyonovna Davydova,Russia,5
Krisztina Egerszegi,Hungary,5
Yukio Endo,Japan,5
"Morris ""Bud"""" Fisher""",USA,5
"Melissa Jeanette ""Missy"""" Franklin""",USA,5
"Gary Wayne Hall, Jr.",USA,5
Anton Heida,USA,5
Eric Arthur Heiden,USA,5
Nataliya Sergeyevna Ishchenko,Russia,5
"Thomas Michael ""Tom"""" Jager""",USA,5
gnes Keleti-Srkny (Klein),Hungary,5
"Nellya Vladimirovna ""Nelli"""" Kim (-Achasov)""",Soviet Union,5
Danuta Kozk,Hungary,5
"Alfred Page ""Al"""" Lane""",USA,5
Larisa Yevgenyevna Lazutina (Ptitsyna-),Unified Team,5
Larisa Yevgenyevna Lazutina (Ptitsyna-),Russia,5
"Kathleen Genevieve ""Katie"""" Ledecky""",USA,5
"Willis Augustus Lee, Jr.",USA,5
Ole Andreas Lilloe-Olsen,Norway,5
Elisabeta Oleniuc-Lip,Romania,5
Takashi Ono,Japan,5
Carl Townsend Osburn,USA,5
Claudia Pechstein,Germany,5
Aaron Wells Peirsol,USA,5
Aleksandr Vladimirovich Popov,Unified Team,5
"Stephen Geoffrey ""Steven"""" Redgrave""",UK,5
Louis Marcel Richardet,Switzerland,5
"Viljo Eino ""Ville"""" Ritola (Koukkari-)""",Finland,5
Svetlana Alekseyevna Romashina,Russia,5
Kim Su-Nyeong,South Korea,4
Kosuke Kitajima,Japan,4
Yana Oleksandrivna Klochkova,Ukraine,4
"Johan Pietari ""Hannes"""" Kolehmainen""",Finland,4
"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",Soviet Union,4
Robert Marek Korzeniowski,Poland,4
Johann Olav Koss,Norway,4
Janica Kosteli,Croatia,4
"Alvin Christian ""Al"""" Kraenzlein""",USA,4
Lenny Krayzelburg,USA,4
Viktor Alekseyevich Krovopuskov,Soviet Union,4
Galina Alekseyevna Kulakova,Soviet Union,4
Gyz Kulcsr,Hungary,4
Kevin Kuske,Germany,4
Andr Lange,Germany,4
Eric Otto Valdemar Lemming,Sweden,4
"Lisbeth Constance ""Libby"""" Lenton-Trickett""",Australia,4
Lisa Deshawn Leslie (-Lockwood),USA,4
Jason Edward Lezak,USA,4
Li Xiaopeng,China,4
Einar Liberg,Norway,4
"James Davies ""Jim"""" Lightbody""",USA,4
"Gregory Efthimios ""Greg"""" Louganis""",USA,4
Roland Matthes,East Germany,4
"Patricia Joan ""Pat"""" McCormick (Keller-)""",USA,4
"Georg ""Georges"""" Miez""",Switzerland,4
Valentin Ivanovich Muratov,Soviet Union,4
John Phillips Naber,USA,4
Aleksey Yuryevich Nemov,Russia,4
Yelena Dmitriyevna Novikova-Belova,Soviet Union,4
Matti Ensio Nyknen (-Paanala),Finland,4
Jon C. Olsen,USA,4
Otto Martin Olsen,Norway,4
Caroline Ouellette,Canada,4
"James Cleveland ""Jesse"""" Owens""",USA,4
Charles Ferdinand Pahud de Mortanges,Netherlands,4
Ivan Patzaichin,Romania,4
Carlo Pavesi,Italy,4
Matthew Clive Pinsent,UK,4
Aleksandr Vladimirovich Popov,Russia,4
Stanislav Alekseyevich Pozdnyakov,Unified Team,4
Stanislav Alekseyevich Pozdnyakov,Russia,4
Meyer Prinstein,USA,4
Oreste Puliti,Italy,4
"Paolo Francesco ""Paul""""  Radmilovic""",UK,4
Sanya Richards-Ross,USA,4
Iain Murray Rose,Australia,4
Henri Julius Reverony Saint Cyr,Sweden,4
Vladimir Valeryevich Salnikov,Soviet Union,4
Allison Rodgers Schmitt,USA,4
Carl Schuhmann,Germany,4
"Melvin Winfield ""Mel"""" Sheppard""",USA,4
Viktor Aleksandrovich Sidyak,Soviet Union,4
Raisa Petrovna Smetanina,Soviet Union,4
Raisa Petrovna Smetanina,Unified Team,4
Lloyd Spencer Spooner,USA,4
Konrad Stheli,Switzerland,4
Viorica Susanu,Romania,4
Gunde Anders Svan,Sweden,4
Emil Hegle Svendsen,Norway,4
Ecaterina (Katalin-) Szabo (-Tamas),Romania,4
Diana Lurena Taurasi,USA,4
Henry Taylor,UK,4
Aleksandr Ivanovich Tikhonov,Soviet Union,4
